topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Arm of Okran,,"The Arm of Okran refers to two long mountainous regions flanking Okran's Valley to the east and west, named for their shape and connection to the Holy Nation's god. The western mountains hold World's End, the Tech Hunter capital and home of the Machinists, while the eastern mountains contain Holy Nation military outposts. The area is green and mountainous with small settlements scattered throughout.",,,"Arm of Okran, Arm_of_Okran",Zones
Ashland Dome Ruin,,"The Ashland Dome Ruins are ancient structures found in the Ashlands, remnants of the Second Empire. They stand empty now, with no inhabitants or treasures left inside. Old treasure maps sometimes mark these locations, suggesting they once held something of value before falling into ruin.",,,"Ashland Dome Ruin, Ashland_Dome_Ruin",Locations
Ashlands,,"The Ashlands is a desolate, ash-covered wasteland that was once the domain of the Second Empire. Skeletons and Iron Spiders of the Skeleton Legion patrol the ruins, and clouds of poison gas drift through the area, making gas protection essential for the living. Ancient artifacts and powerful weapons can be found among the crumbling remnants of the old empire. There are no major towns, only abandoned outposts and dangerous ruins.",,,Ashlands,Zones
Atticus,,"Atticus was an author who wrote several books including Mass Extinction III, Legend of the Forsaken Howler, and Legend of the Foulhound. It is believed Atticus was a Machinist, and their writings have been referenced by other scholars such as Finch.",,,Atticus,"Characters, Lore"
Authentic Skeleton Repair Kit,,"An authentic repair kit made by the Advanced Skeleton Labs of the Western Hives, designed to heal damage on robotic body parts. Despite its fancy name, it is actually inferior to the standard repair kit, suggesting the Western Hivers used marketing to boost sales. Anti-slavers are sometimes found carrying these kits, hinting at possible trade connections with the Western Hive.",,,"Authentic Skeleton Repair Kit, Authentic_Skeleton_Repair_Kit",Items
Bad Teeth,,"Bad Teeth is a major town controlled by the Holy Nation, guarding a mountain pass between Okran's Pride and the Skinner's Roam. Gate guards often kill river raptors that wander near the town. It serves as a typical Holy Nation settlement without any unique structures.",,,"Bad Teeth, Bad_Teeth","Holy Nation, Locations"
Band of Bones,,"The Band of Bones is a violent Shek bandit group led by Tora, made up of exiles from the Shek Kingdom who lost in battle but refused to give up their weapons. Most members are hornless and malnourished outcasts who roam the southern regions and swamps. They are hostile to the Shek Kingdom, Holy Nation, and United Cities, attacking travelers on sight.",,,"Band of Bones, Band_of_Bones",Factions
Bandits,,"Bandits are common hostile groups found throughout the land, divided into Dust Bandits and Starving Bandits. They travel in small packs of a few members led by a boss with slightly better gear and skills. Bandit groups attack anyone they encounter, including other bandits, though they are generally less skilled than more organized threats like Sand Ninjas.",,,Bandits,Removed Content
Bar of Mourn,,"Bar of Mourn is a drinking establishment located in the town of Mourn. Patrons there speak of the Great White Gorillo, a local topic of interest. It operates like most black market bars but with its own local character.",,,"Bar of Mourn, Bar_of_Mourn","Town Residents, Vendors"
Barges,,Barges are the rusted remains of old ships that once sailed Kenshi's waters before they evaporated. These rectangular vessels with two masts now lie sunken or run aground near former bodies of water across the land. Some barges remain in nearly perfect condition while others have decayed significantly over time.,,,Barges,World Elements
Bark,,"Bark is a coastal town in the Great Desert, built around natural lagoons and governed by Lady Sanda from her Noble House. It relies on supplies from nearby ports and has no police station, so arrested individuals are sent directly to the slave shop. The town contains slum-like camp beds for the homeless and is home to Red, a known pickpocket.",,,Bark,"Locations, United Cities"
Barrier Tower,,"Barrier Tower is a military outpost in Sonorous Dark controlled by the Skeleton Legion. It is heavily defended by upgraded watchbot skeletons manning harpoon turrets. The tower has free beds inside and its walls block an otherwise convenient passage toward the Ashlands, forcing travelers to risk the acid water if they wish to pass.",,,"Barrier Tower, Barrier_Tower",Locations
Basic First Aid Kit,,"A basic first aid kit contains various bandages used to stop bleeding and treat cuts. Its poor quality means it works less effectively for skilled medics. These kits are commonly carried by soldiers, slavers, and even cannibals who patch up their victims.",,,"Basic First Aid Kit, Basic_First_Aid_Kit",Items
Bast,,"Bast is a devastated border zone between the United Cities and the Holy Nation in the northeast. It was once a developing region with many hamlets and settlements until the Holy Nation invaded, razed the area, and took captives. Now it remains a weakly held conflict zone where both factions send patrols that regularly clash, while Rebel Farmers and Cannibals also wander through from neighboring territories.",,,"Bast (Zone), Bast_(Zone), Bast Zone",Zones
Bayan,,"Bayan is a male Shek advisor to Queen Esata the Stone Golem, found at the Shek Kingdom headquarters in Admag. He is known for influencing Esata's decision to make peace with the United Cities to help reverse the decline of the Shek population. Players can negotiate an alliance with the Shek through him if they are enemies of the Holy Nation or have defeated certain powerful leaders, and he accepts bounties on high-value targets.",,,Bayan,"Bosses, Characters, Unique"
Beak Thing,,"Beak Things, also called Gutters, are extremely dangerous predators found across many regions of the world. They run incredibly fast, strike with devastating force, and are notorious for eating incapacitated victims alive, consuming them piece by piece. Elder Beak Things are even more fearsome and can be found in the Bonefields. Their nests contain prized eggs, but approaching them is perilous for all but the most skilled fighters.",,,"Beak Thing, Beak_Thing","Animals, Characters"
Beak Thing Egg,,"Beak Thing eggs are rare delicacies found in Beak Thing nests, highly prized by nobles who pay well for them. Many people die attempting to steal these eggs from the dangerous creatures that lay them. The eggs are heavy and awkward to carry, making them difficult to transport in large quantities.",,,"Beak Thing Egg, Beak_Thing_Egg",Items
Beautiful Tengu: A Tribute,,"This is a book of praise about Emperor Tengu, written by the famous rebel Luquin while imprisoned in Tengu's Vault. Luquin was forced to write flattering words about the emperor during his captivity. It is unknown whether Luquin is still alive.",,,"Beautiful Tengu: A Tribute, Beautiful_Tengu:_A_Tribute, Beautiful Tengu A Tribute",Books
Berserker Country,,"Berserker Country is a harsh, rocky zone with crimson red terrain inhabited by violent Berserkers. The coastline is littered with inactive spiders, and Berserkers sometimes clash with Cannibals in the area. It is a desolate region with few resources and no settlements.",,,"Berserker Country, Berserker_Country",Zones
Berserkers,,"Berserkers are rogue Shek fighters who deserted the Shek Kingdom to return to their old tribal ways, seeking challenges and conflict. Many migrated north to form Berserker Country, but some remained behind under their leader Ghost. They are recognized by their maroon clothes and armor, and the Shek Kingdom generally lets them do as they please.",,,Berserkers,Factions
Big Al,,"Big Al is a Shek who leads the Stone Rats gang from their village in the Swamp. If he is killed or taken away, his village will be overrun by either the Hounds or the Swamp Ninjas. His death also stops the Stone Rats from raiding or demanding protection money from nearby settlements.",,,"Big Al, Big_Al","Bosses, Characters, Unique"
Big Darkbrow,,"Big Darkbrow is a Hive Prince who leads the Blackshifters gang from a hideout in Shark. He has a traitorous personality and competes with other gang leaders for control of the region. If both he and Big Grim fall, the Grayflayers take over Shark, and if all three major gang leaders are gone, Spiders overrun Rot.",,,"Big Darkbrow, Big_Darkbrow","Blackshifters, Bosses, Characters, Hivers, Swampers, Swamps, Swamps Characters, Unique"
Big Fang,,"Big Fang is a Scorchlander man who leads the Twinblades, one of the gangs operating in the Swamp. He can usually be found in Mud Town, north of Shark, though he may relocate to Shark itself if the Grayflayers take control of that city. Unlike other swamp gang leaders, his position remains stable regardless of changing circumstances in the region.",,,"Big Fang, Big_Fang","Bosses, Characters, Swampers, Twinblades, Unique"
Big Gray,,"Big Gray is a Greenlander man who leads the Grayflayers, a criminal gang operating in the Swamp. He can be found at Grayflayer Village. If he is killed or taken away, the village falls under Swamper control, and if he and the other gang leaders all die, Rot becomes overrun by Blood Spiders.",,,"Big Gray, Big_Gray","Bosses, Characters, Grayflayers, Swampers, Swamps, Swamps Characters, Unique"
Big Grim,,"Big Grim is a Greenlander woman who leads the Hounds, a criminal faction based in Shark. She is known for her rough diplomacy and low literacy, once writing a poorly-spelled letter to Darkbrow proposing an alliance. To join her gang, outsiders must first smooth things over with a member called Ears, after which she may assign smuggling jobs into United Cities territory.",,,"Big Grim, Big_Grim","Bosses, Characters, Hounds, Swampers, Swamps, Swamps Characters, Unique"
Birth Of The Phoenix,,"Birth Of The Phoenix is a religious text from the Holy Nation containing verses attributed to Holy Lord Phoenix IV. It teaches that the Phoenix was created by their god, the Benefactor, as a divine guide for mankind, and that the Phoenix's soul is pure and incorruptible. The book emphasizes that only the Phoenix can receive the Creator's instructions and lead the faithful.",,,"Birth Of The Phoenix, Birth_Of_The_Phoenix","Books, Items"
Black Desert City,,"Black Desert City is a skeleton-run town in the Deadlands, built after the fall of the Second Empire. The town has no human residents and lacks a proper food supply, though the bartender mentions this. It features both regular beds and skeleton repair beds, and connects via bridge to a nearby hill where the Scraphouse sits.",,,"Black Desert City, Black_Desert_City","Citations needed, Locations"
Black Desert Ninjas,,"Black Desert Ninjas are Cloud Ninjas who roam the Deadlands and surrounding areas. They are mostly human and lack protection against the region's deadly acid rain, which often kills them over time. They are hostile to outsiders and operate in one of the most dangerous environments in the world.",,,"Black Desert Ninjas, Black_Desert_Ninjas","Factions, Ninja"
Black Dog,,"Black Dog is a minor faction operating in the eastern regions. They are known for extorting travelers and settlements for protection money, attacking those who refuse to pay. They have no particular alliances or enemies with other factions.",,,"Black Dog, Black_Dog","Factions, WIP"
Black Gorillo,,"Black Gorillos are dangerous black-furred apes found in the southeastern regions, especially Sonorous Dark and Stobe's Gamble. They are stronger and more formidable than their white-furred cousins, though they travel alone and can be outmaneuvered. An even larger variant called the King Gorillo exists.",,,"Black Gorillo, Black_Gorillo","Animals, Characters"
Black Scratch,,"Black Scratch is a town built on a hill around an ancient structure in The Outlands. It serves as the headquarters of the Tech Hunters and houses the Great Library, where many blueprints can be found. Bo, an important member of the Anti-Slavers, also resides here.",,,"Black Scratch, Black_Scratch",Locations
Blackshifter Casino Bar,,The Blackshifter Casino Bar is a gambling establishment run by Blackshifters in The Swamp. The bar sometimes contains letters and memos left by its operators.,,,"Blackshifter Casino Bar, Blackshifter_Casino_Bar","Town Residents, Vendors"
Blackshifters,,"The Blackshifters are a gang of ronin Hivers operating in The Swamp, led by their boss Big Darkbrow in Shark. They run casinos in Mud Town and Shark, and are known for extorting debts from gamblers. They are rumored to cheat and scam people at their gambling establishments.",,,Blackshifters,Factions
Blister Hill,,"Blister Hill is the capital of the Holy Nation, a large town in Okran's Pride where the Holy Lord Phoenix rules from his throne room. The town is divided into two sections: an inner walled area with the throne room and military buildings, and an outer area for the general populace. It contains shops, bars, and temples, and its name likely refers to the white rocky hill of Rebirth visible behind it.",,,"Blister Hill, Blister_Hill","Holy Nation, Locations"
Blood Spider,,"Blood Spiders are thin, blood-red insectoids that hunt in packs throughout swamps and shadowy regions. They are fragile individually but strike with devastating force and can pursue prey underwater by walking along lake bottoms. These creatures incapacitate victims and drain them alive, making them one of the most feared predators in the wilds.",,,"Blood Spider, Blood_Spider","Animals, Characters"
Bloodraiders,,"The Bloodraiders are hostile bandits who roam The Eye, Grey Desert, and Spine Canyon. They attack anyone they encounter and are known for their blood-stained appearance. They share similarities with the Reavers in their brutal nature and aesthetic.",,,Bloodraiders,Factions
Bloodrum,,Bloodrum is a fine rare spirit made from cactus rum and hashish that wealthy people display to impress others. It is illegal in United Cities territory and considered contraband by slave traders. Smugglers in the Grey Desert sometimes carry it.,,,Bloodrum,Items
Blue Eyes,,"Blue Eyes is a notorious criminal wanted by the United Cities for fraud, extortion, smuggling, and theft. She has scammed countless citizens out of vast sums of money and is known as a master of disguise. Despite her skill at changing her appearance, she is also a braggart and drunkard who frequently boasts about her crimes in bars, making her easier to track by listening rather than looking.",,,"Blue Eyes, Blue_Eyes","Bounty, Characters"
Bo,,"Bo is a Scorchlander woman known as 'Big Bo' among the Anti-Slavers, despite her small size. She can be found in Black Scratch and is wanted by both the United Cities and the Holy Nation for terrorism and anti-workforce activities. She may join travelers who oppose slavery or have taken action against slavers and their leaders.",,,Bo,"Bounty, Characters, Playable, Unique"
Bolts Heavies,,Bolts Heavies are heavy crossbow ammunition that hit hard but don't fly as far because of their weight. They're made at an arrow making bench and can be stored in a boltbox. These bolts are useful when you need stopping power over distance.,,,"Bolts Heavies, Bolts_Heavies",Crossbows
Bolts Longs,,"Long bolts are high-quality crossbow ammunition known for their accuracy and range. They are uncommon and hard to find, with only a few remote settlements like World's End and Mongrel regularly stocking them. They can be crafted from steel if you know the blueprint, or occasionally found in old ruins.",,,"Bolts Longs, Bolts_Longs",Crossbows
Bolts Regulars,,"Regular bolts are the standard ammunition for crossbows, varying slightly in size and weight but compatible with most bows. They are widely available and commonly used throughout the land. These bolts can be crafted at arrow making benches and stored in boltboxes for long expeditions.",,,"Bolts Regulars, Bolts_Regulars",Crossbows
Bolts Toothpicks,,They lack stopping power but are commonly used in rapid-fire crossbows. These bolts can be crafted at arrow making benches and stored in boltboxes.,,,"Bolts Toothpicks, Bolts_Toothpicks",Crossbows
Bonedog,,"Bonedogs are dark-furred canine creatures with bony ridges and faces that roam the wastes in territorial packs. Wild bonedogs are drawn to dead bodies and will devour them, sometimes playfully carrying severed limbs around. Some have been domesticated and can be purchased from nomad traders or farm shops, serving as loyal companions and guardians despite not being the sturdiest fighters.",,,Bonedog,"Animals, Characters, Playable"
Bonefields,,"The Bonefields are a large dry plain littered with countless bones scattered across the landscape. The area is sparsely populated but dangerous, home to hunting Beak Things, Skin Spiders, Boneyard Wolves, and hostile Gorrillo Bandits. A few small towns and villages exist here despite the threats. The region experiences two distinct seasons throughout the year.",,,Bonefields,Zones
Boneyard Wolf,,"Boneyard Wolves are large, brownish-furred predators found in the Bonefields and surrounding regions. They are significantly stronger and bigger than Bonedogs, resembling bears more than wolves in size and appearance. These dangerous creatures roam the bone-filled wastelands and pose a serious threat to travelers.",,,"Boneyard Wolf, Boneyard_Wolf","Animals, Characters"
Book Of Grace,,"The Book of Grace is an ancient scripture of unknown authorship that preaches selflessness, kindness, and rejection of worldly temptations like intoxication and theft. It speaks of overcoming ego to reach a paradise called the Enlightened Lands. Despite its moral teachings, the book is forbidden within the Holy Nation.",,,"Book Of Grace, Book_Of_Grace",Books
Book Of Sacrifice,,"An ancient forbidden scripture telling of Chitrin, a great father figure who was betrayed by his children and sacrificed himself to cleanse the world. The act split him into two gods: Okran, god of light and warmth, and Narko, god of darkness and cold. The Holy Nation forbids this book, likely because it contradicts their teachings about Okran's singular divinity.",,,"Book Of Sacrifice, Book_Of_Sacrifice",Books
The Great Library,,The Great Library holds the largest collection of blueprints and lore books in all of Kenshi. It is a place where travelers and scholars can find rare knowledge and technical designs not easily found elsewhere.,,,"The Great Library, The_Great_Library","Town Residents, Vendors"
Border Zone,,"The Border Zone is an arid no-man's-land between the Shek Kingdom and Holy Nation territories, once controlled by the Holy Nation but now largely abandoned. It is overrun by Starving Bandits, Dust Bandits, and Black Dragon Ninjas, with only two major settlements remaining: the Shek town of Squin and the ruined city of The Hub. The region is known for its abundant high-quality iron and copper deposits, making it attractive for mining despite the constant bandit threats.",,,"Border Zone, Border_Zone",Zones
Boss Simion,,Boss Simion is the leader of the Rebel Farmers and resides in Fort Simion with his armed followers. He was once a farmer in the United Cities who lost everything to slave labor competition and now preys on caravans and protects outcasts from the Empire. He has a bounty on his head and can be turned in to the United Cities for reward.,,,"Boss Simion, Boss_Simion","Bosses, Bounty, Characters, Unique"
Bounty Hunters,,"Bounty Hunters are adventurers who earn their living by capturing wanted criminals and bandits. Most come from the United Cities and operate in those lands or nearby regions. They will attack anyone they see committing a crime and are known to gather in places like Watcher's Rim, where some discuss their hopes of one day facing the legendary Bugmaster.",,,"Bounty Hunters, Bounty_Hunters",Factions
Brink,,"Brink is a major town controlled by the United Cities, located in the Stormgap Coast and governed by Lady Tsugi. Its economy depends entirely on supplies from Eyesocket. Reaver patrols are often seen near the town.",,,Brink,"Locations, United Cities"
Bugmaster,,"The Bugmaster is a notorious criminal who lives in a tower in the crater of Arach, commanding a massive army of spiders through unknown means. He is extremely dangerous and attacks anyone on sight, with his motivations remaining a mystery. The Shek Kingdom offers a substantial bounty for his capture, and defeating him earns great respect among warriors.",,,Bugmaster,"Bosses, Bounty, Characters, Spiders, Superbosses, Unique"
Bull Horn Axe,,"The Bull Horn Axe is a heavy fragment axe wielded by Flying Bull, leader of Kral's Chosen. King Shager gifted this weapon to his most loyal warrior as a reward for unwavering service. It is an ancient quality blade known for its reach and effectiveness in open combat.",,,"Bull Horn Axe, Bull_Horn_Axe","Heavy Weapon, Unique, Weapons"
Burning Forest,,"The Burning Forest is a swampy woodland plagued by frequent acid rain that gives the region its name. Blood Spiders infest the area, making travel dangerous regardless of weather conditions. Ruins of old labs and farms can be found scattered throughout, though they are often guarded by ancient security machines.",,,"Burning Forest, Burning_Forest",Zones
Buzan,,"Buzan is a Scorchlander man and one of the leaders of the Black Dragon Ninjas. He can be found in the Tower of Ninjas alongside Dimak and their followers. He is wanted by The Holy Nation for murder, robbery, assault, arson, and kidnapping, and is known for having a limp and a particularly punchable face.",,,Buzan,"Bounty, Characters, Unique"
Cactus,,"Cactus is a raw plant that grows in arid lands and cannot be eaten directly. It is used to make food and cactus rum. Traders and farm leaders sell it, or it can be grown on cactus farms in dry regions.",,,Cactus,"Farming, Items"
Cactus Den,,"Cactus Den is a watchtower in the middle of Spine Canyon, northwest of Tengu's Vault, serving as the home of the Sand Ninjas and their leader, Sand Ninja Oni. Entering the tower will provoke the Sand Ninjas into hostility.",,,"Cactus Den, Cactus_Den",Locations
Cactus Rum,,"Cactus Rum is a very strong alcohol commonly found in desert regions. It causes severe dehydration, making it a rare luxury in arid areas, but in the greenlands where water is plentiful, people drink it freely. It is produced at rum stills and traded as a valuable good.",,,"Cactus Rum, Cactus_Rum",Items
Cage Beast,,Cage Beasts are creatures that resemble Garrus but carry large backpacks and prisoner cages on their bodies. They were removed from the world and no longer appear naturally. Some say they were once used for transporting captives across long distances.,,,"Cage Beast, Cage_Beast","Animals, Removed Content"
Cannibal Capital,,"Cannibal Capital was once the town of Deadcat before falling to the Cannibals. It appears on maps as the neutral town of Deadcat, likely to deceive travelers into thinking it's a safe refuge. The settlement is now controlled by numerous Cannibals led by the Cannibal Grand Wizard, who is guarded by Cannibal Chiefs.",,,"Cannibal Capital, Cannibal_Capital",Locations
Cannibal Grand Wizard,,"The Cannibal Grand Wizard is the leader of the Cannibals and resides in the Cannibal Capital. He commands the entire known cannibal population, though his actual magical powers remain unknown. He is wanted by the Holy Nation, Shek Kingdom, and United Cities for a substantial bounty.",,,"Cannibal Grand Wizard, Cannibal_Grand_Wizard","Bounty, Characters, Unique"
Cannibal Hunter Robun,,"Cannibal Hunter Robun is a Greenlander man who leads the Cannibal Hunters and can be hired to fight cannibals. He is the younger brother of someone who wrote journals about being captured, and he likely survived that ordeal. He stays at The Bastion, near the border of Darkfinger and Sinkuun.",,,"Cannibal Hunter Robun, Cannibal_Hunter_Robun","Characters, Unique"
Cannibal Hunters,,"Cannibal Hunters are a group dedicated to fighting and containing the Cannibal threat, operating mainly in and around Cannibal-infested territories. They are led by Cannibal Hunter Robun and are based out of The Bastion. Unlike most factions, they will heal wounded strangers they encounter, and their patrols are often accompanied by trained Mountain Dogs.",,,"Cannibal Hunters, Cannibal_Hunters",Factions
Cannibal Plains,,"The Cannibal Plains are a dangerous region in the northwest where large groups of cannibals roam freely, often overwhelming travelers. Cannibal Hunters sometimes venture here to hunt them but frequently become prey themselves. The area also sees occasional shrieking bandits and berserkers wandering through the territory.",,,"Cannibal Plains, Cannibal_Plains",Zones
Cannibals,,"The Cannibals, also called the Painted Tribe, are tribal humanoids who inhabit the Cannibal Plains and surrounding northern regions, though they sometimes migrate far south. They capture unconscious victims, cage them, and eventually cook them in pits, refusing to eat skeletons or animals but remaining hostile to all. Ancient texts suggest they may be devolved humans, possibly descended from inhabitants of the northwestern Ancient Labs who degenerated over thousands of years due to toxins, experiments, or famine.",,,Cannibals,Factions
Catun,,"Catun is a fortified town in the Bonefields controlled by the United Cities and ruled by Lord Shiro of the Noble Circle. It sits atop an elevated plateau surrounded by dangerous wildlife and is home to the Catun Scrapmasters, who claim to be the most skilled weapon smiths in the world. If Lord Shiro is killed or imprisoned, the town falls to Fishmen and is destroyed.",,,Catun,"Article stubs, Locations, United Cities"
Catun,,"Catun is a major town controlled by the United Cities, located atop an elevated plateau in the Bonefields. Lord Shiro, a member of the Noble Circle, resides here, and the town is home to the Catun Scrapmasters, who claim to be the most sophisticated weapon smiths in the world. The settlement resembles a medieval fortress and is well-defended by United Cities samurai who regularly fight off hostile wildlife. If Lord Shiro is killed or imprisoned, Catun falls to Fishmen and is completely destroyed.",,,Catun,"Article stubs, Locations, United Cities"
Cats,,"They can be earned by selling goods to merchants or found when looting nobles and ancient ruins. People in Kenshi generally understand Cats as part of Guides, Items.",,,Cats,"Guides, Items"
Catun Scrapmasters,,"Catun Scrapmasters is a weapon shop located in Catun, controlled by the United Cities. The shop is home to the Catun Scrapmaster weapons manufacturer and exclusively sells their own branded weapons.",,,"Catun Scrapmasters, Catun_Scrapmasters","Town Residents, Vendors"
Chalice Of Fire,,"The Chalice of Fire is a sacred relic of the Holy Nation, said to have been forged from the Sacred Flame by the 47th Holy Phoenix himself. It appears as an exceptionally shiny cup and is given by the Holy Lord Phoenix to those who earn great favor with the Holy Nation. Despite its legendary status, it looks much like an ordinary polished cup.",,,"Chalice Of Fire, Chalice_Of_Fire","Holy Nation, Items, Unique"
Cheaters Run,,"Cheaters Run is a coastal zone south of the Royal Valley that provides a relatively safe passage to and from the Ashlands while avoiding the Southern Hive territory. Fishmen and Iron Spiders roam the coastline, and the area experiences occasional acid rain. There are no major settlements here, only small outposts and ancient ruins.",,,"Cheaters Run, Cheaters_Run",Zones
Chewsticks,,"Chewsticks are a simple food made from cactus, common in desert regions where water is scarce. They provide basic nutrition and are valued for requiring very little water to produce compared to other foods. Most desert settlements and traders stock them as a practical meal option.",,,Chewsticks,"Items, Nutrition"
Chitrin,,"Chitrin was an ancient deity whose story is told in the Book of Sacrifice. According to the tale, when his people lost faith in him, calamities struck the land until Chitrin sacrificed himself and was reborn as two gods: Okran, god of day and warmth, and Narko, god of night and cold. The Holy Nation keeps records of Chitrin but appears to have banned his worship in favor of Okran.",,,Chitrin,Lore
City Hero,,"City Heroes are racist pro-Empire vigilantes who form the United Heroes League. They operate from Fort Mirage and patrol major United Cities towns, claiming to be patriots defending civilization. They are hostile to non-humans and those who oppose the Empire's order.",,,"City Hero, City_Hero","Characters, United Heroes League"
Cleanser Unit,,"Cleanser Units are massive robotic leviathans that roam the Ashlands, often followed by flocks of Beak Things. They are ancient machines from the Old Empire and are one of the few sources of AI Cores. These towering automatons are extremely dangerous and patrol their territory relentlessly.",,,"Cleanser Unit, Cleanser_Unit","Animals, Characters"
Cloud Ninja,,"Cloud Ninjas are members of the Black Desert Ninjas faction who roam the Black Desert, Grey Desert, and Iron Valleys in small groups. They are human or hive warriors who operate in these harsh desert regions. These ninjas travel in bands and are known to be encountered by travelers passing through their territory.",,,"Cloud Ninja, Cloud_Ninja",Characters
Clownsteady,,Clownsteady is a small town in The Hook region controlled by the United Cities. Its economy depends on nearby slave farms and markets. The town is close to the Swamp and serves as a decent trading post for alcohol and other goods.,,,Clownsteady,"Locations, United Cities"
Clownsteady (Alpha),,"Clownsteady was a northeastern town controlled by Dead Cat, located near Brink, Shark, and Teblooze. It existed in earlier versions of the world but was removed before the current era. The town eventually returned in a different form.",,,"Clownsteady (Alpha), Clownsteady_(Alpha), Clownsteady Alpha",Removed Content
Combat Cleaver,,"The Combat Cleaver is a sword-cleaver hybrid that is lighter and more suited to regular combat than typical hackers. It is commonly wielded by the Sentinels and Chosen of the Holy Nation, as well as members of the Band of Bones and Bloodraiders. A legendary version can be found with King Gurgler in the Island Lab.",,,"Combat Cleaver, Combat_Cleaver","Hacker, Weapons"
Copper Alloy Plates,,"Copper Alloy Plates are advanced metal sheets made from steel and copper, used for specialized construction projects. They can be crafted at special workbenches or scavenged from ancient ruins scattered across the land.",,,"Copper Alloy Plates, Copper_Alloy_Plates",Items
Corpse Furnace,,A Corpse Furnace is a building used to dispose of dead bodies and any items they carried. It completely destroys corpses placed inside it. These furnaces are commonly used to manage the aftermath of battles or raids.,,,"Corpse Furnace, Corpse_Furnace",Buildings
Crab Bar,,"Crab Bar is the local tavern in Crab Town where travelers can find food, drink, and rest. It is known as the home of Lumi, a bilingual individual who can be found there. The bar serves the community and visiting wanderers alike.",,,"Crab Bar, Crab_Bar","Town Residents, Vendors"
Crab Egg,,"Crab eggs are live eggs found in nests throughout regions like Greenbeach, the Howler Maze, and The Unwanted Zone. They have some value and can be collected or stolen from crab nests, though crabs are slow and unlikely to catch thieves. These eggs do not hatch into crabs.",,,"Crab Egg, Crab_Egg",Items
Crab Queen,,"The Crab Queen is the leader of the Crab Raiders and rules from her palace in Crab Town. She has a large bounty from the United Cities and can be approached for an alliance if you speak favorably of crabs. If she is killed or imprisoned, her faction collapses and Crab Town falls to the Fishmen.",,,"Crab Queen, Crab_Queen","Bosses, Bounty, Characters, Crab Raiders, Superbosses, Unique"
Crab Raiders,,"Crab Raiders are a bandit faction of Scorchlanders who worship crabs and are led by the Crab Queen. They control Crab Town in The Pits East and have villages in Greenbeach and Stobe's Garden. They frequently raid and fight rival gangs and the United Cities, wearing distinctive crab armor and keeping trained crabs as companions.",,,"Crab Raiders, Crab_Raiders",Factions
